needs_review_id,supplier_sku,raw_desc,qty,unit_raw,net_price,issue_code,suggestion_1,suggestion_2,suggestion_3,set_product_id,set_unit,set_pack_size,set_pack_unit,persist_mode,reason
OFF-ALI-20260212-0026,1599,"Goma Wakame ""Select""- Taiwan",1.0,pcs,5.51,unmapped,,,,,,,,,
OFF-ALI-20260212-0027,80153,"Green Tea powder ""Matcha"", 100% green tea",1.0,pcs,27.8,unmapped,,,,,,,,,
OFF-ALI-20260212-0028,ZZY001,"Bamboo Leaves, Enso",1.0,pcs,4.2,unmapped,,,,,,,,,
OFF-ALI-20260212-0029,13878,Banana leaves,1.0,pcs,2.46,unmapped,,,,,,,,,
OFF-ALI-20260212-0030,58074,Nori gold,1.0,pcs,6.68,unmapped,,,,,,,,,
OFF-ALI-20260212-0031,GO_3168,Aji Amarillo,1.0,pcs,3.85,unmapped,,,,,,,,,
OFF-ALI-20260212-0032,GO_3167,AJI PANKA,1.0,pcs,3.85,unmapped,,,,,,,,,
OFF-ALI-20260212-0033,80108,Dashi moto soup stock,1.0,pcs,12.5,unmapped,,,,,,,,,
OFF-ALI-20260212-0034,k071b,Tofu bean curd,1.0,pcs,2.1,unmapped,,,,,,,,,
OFF-ALI-20260212-0035,33216,Gyoza dough sheet 10x10,1.0,pcs,1.96,unmapped,,,,,,,,,
