needs_review_id,supplier_sku,raw_desc,qty,unit_raw,net_price,issue_code,suggestion_1,suggestion_2,suggestion_3,set_product_id,set_unit,set_pack_size,set_pack_unit,persist_mode,reason
OFF-ALI-20260211-0001,D0001,Nori Sheets,500.0,pcs,5.25,unmapped,,,,,,,,,
OFF-ALI-20260211-0002,D0002,Sushi Rice,10.0,kg,8.7,unmapped,,,,,,,,,
OFF-ALI-20260211-0003,D0003,Rice Vinegar,6.0,lt,7.39,unmapped,,,,,,,,,
OFF-ALI-20260211-0004,D0004,Soy Sauce,6.0,lt,6.59,unmapped,,,,,,,,,
OFF-ALI-20260211-0005,D0005,Wasabi Paste,430.0,g,3.94,unmapped,,,,,,,,,
OFF-ALI-20260211-0006,D0006,Pickled Ginger,10.0,kg,3.94,unmapped,,,,,,,,,
OFF-ALI-20260211-0007,D0007,Sesame Seeds White,5000.0,g,3.35,unmapped,,,,,,,,,
OFF-ALI-20260211-0008,D0008,Sesame Seeds Black,5000.0,g,8.2,unmapped,,,,,,,,,
OFF-ALI-20260211-0009,D0009,Panko Breadcrumbs,10.0,kg,6.61,unmapped,,,,,,,,,
OFF-ALI-20260211-0010,D0010,Tempura Batter Mix,10.0,kg,7.25,unmapped,,,,,,,,,
OFF-ALI-20260211-0031,F0001,Salmon Fillet (Frozen),10.0,kg,20.15,unmapped,,,,,,,,,
OFF-ALI-20260211-0032,F0002,Tuna Saku Block (Frozen),5.0,kg,19.68,unmapped,,,,,,,,,
OFF-ALI-20260211-0033,F0003,Ebi Shrimp (Frozen),10.0,kg,9.3,unmapped,,,,,,,,,
OFF-ALI-20260211-0034,F0004,Octopus Slices (Frozen),5.0,kg,48.56,unmapped,,,,,,,,,
OFF-ALI-20260211-0035,F0005,Surimi Sticks (Frozen),10.0,kg,28.9,unmapped,,,,,,,,,
OFF-ALI-20260211-0036,F0006,Gyoza (Frozen),10.0,kg,39.75,unmapped,,,,,,,,,
OFF-ALI-20260211-0037,F0007,Chicken Karaage (Frozen),10.0,kg,14.09,unmapped,,,,,,,,,
OFF-ALI-20260211-0038,F0008,Vegetable Spring Rolls (Frozen),10.0,kg,9.95,unmapped,,,,,,,,,
OFF-ALI-20260211-0039,F0009,Tempura Shrimp (Frozen),10.0,kg,21.68,unmapped,,,,,,,,,
OFF-ALI-20260211-0040,F0010,Salmon Roe (Frozen),2000.0,g,16.8,unmapped,,,,,,,,,
