needs_review_id,supplier_sku,raw_desc,qty,unit_raw,net_price,issue_code,suggestion_1,suggestion_2,suggestion_3,set_product_id,set_unit,set_pack_size,set_pack_unit,persist_mode,reason
OFF-TM-20260212-0001,148074,Blackberries εισαγωγής (125g),125.0,g,3.07,unmapped,,,,PROD-TM-SKU-148074,g,125.0,g,sku_map,real_themart_onboarding_top50_plus
OFF-TM-20260212-0002,140361,Blueberries εισαγωγής (125g),125.0,g,1.25,unmapped,,,,PROD-TM-SKU-140361,g,125.0,g,sku_map,real_themart_onboarding_top50_plus
OFF-TM-20260212-0003,107462,Grapefruit κόκκινα εγχώρια,1.0,kg,1.4,unmapped,,,,PROD-TM-SKU-107462,kg,1.0,kg,sku_map,real_themart_onboarding_top50_plus
OFF-TM-20260212-0004,107461,Grapefruit λευκά εγχώρια,1.0,kg,1.22,unmapped,,,,PROD-TM-SKU-107461,kg,1.0,kg,sku_map,real_themart_onboarding_top50_plus
OFF-TM-20260212-0005,103662,Iceberg εισαγωγής,1.0,kg,2.09,unmapped,,,,PROD-TM-SKU-103662,kg,1.0,kg,sku_map,real_themart_onboarding_top50_plus
OFF-TM-20260212-0006,140363,Raspberries εισαγωγής (125g),125.0,g,2.92,unmapped,,,,PROD-TM-SKU-140363,g,125.0,g,sku_map,real_themart_onboarding_top50_plus
OFF-TM-20260212-0007,159310,Άνηθος εγχώριος,1.0,kg,0.67,unmapped,,,,PROD-TM-SKU-159310,kg,1.0,kg,sku_map,real_themart_onboarding_top50_plus
OFF-TM-20260212-0008,126921,Αβοκάντο εισαγωγής,1.0,kg,3.55,unmapped,,,,PROD-TM-SKU-126921,kg,1.0,kg,sku_map,real_themart_onboarding_top50_plus
OFF-TM-20260212-0011,133216,Αγγούρια Κνωσσού βιολογικά (bio) εγχώρια,1.0,kg,4.25,unmapped,,,,PROD-TM-SKU-133216,kg,1.0,kg,sku_map,real_themart_onboarding_top50_plus
OFF-TM-20260212-0012,155630,ΑΓΡΟΚΗΠΟΣ ΧΑΛΒΑΤΖΗ κολοκύθα στον ατμό 400g,1.0,kg,2.8,unmapped,,,,PROD-TM-SKU-155630,kg,1.0,kg,sku_map,real_themart_onboarding_top50_plus
OFF-TM-20260212-0013,202857,ΑΓΡΟΚΗΠΟΣ ΧΑΛΒΑΤΖΗ λαχανικά με κους κους 220g,1.0,kg,3.91,unmapped,,,,PROD-TM-SKU-202857,kg,1.0,kg,sku_map,real_themart_onboarding_top50_plus
OFF-TM-20260212-0014,202859,ΑΓΡΟΚΗΠΟΣ ΧΑΛΒΑΤΖΗ λαχανικά με ρεβύθια και κινόα 220g,1.0,kg,3.91,unmapped,,,,PROD-TM-SKU-202859,kg,1.0,kg,sku_map,real_themart_onboarding_top50_plus
OFF-TM-20260212-0015,202858,ΑΓΡΟΚΗΠΟΣ ΧΑΛΒΑΤΖΗ λαχανικά στον ατμό με πλιγούρι και κινόα 220g,1.0,kg,3.91,unmapped,,,,PROD-TM-SKU-202858,kg,1.0,kg,sku_map,real_themart_onboarding_top50_plus
OFF-TM-20260212-0016,120388,Ακτινίδια βιολογικά (bio) εγχώρια,1.0,kg,3.42,unmapped,,,,PROD-TM-SKU-120388,kg,1.0,kg,sku_map,real_themart_onboarding_top50_plus
