needs_review_id,supplier_sku,raw_desc,qty,unit_raw,net_price,issue_code,suggestion_1,suggestion_2,suggestion_3,set_product_id,set_unit,set_pack_size,set_pack_unit,persist_mode,reason
OFF-TM-20260211-0001,148074,Blackberries εισαγωγής (125g),1.0,pcs,3.07,unmapped,,,,,,,,,
OFF-TM-20260211-0002,140361,Blueberries εισαγωγής (125g),1.0,pcs,1.25,unmapped,,,,,,,,,
OFF-TM-20260211-0003,107462,Grapefruit κόκκινα εγχώρια,1.0,pcs,1.4,unmapped,,,,,,,,,
OFF-TM-20260211-0004,107461,Grapefruit λευκά εγχώρια,1.0,pcs,1.22,unmapped,,,,,,,,,
OFF-TM-20260211-0005,103662,Iceberg εισαγωγής,1.0,pcs,2.09,unmapped,,,,,,,,,
OFF-TM-20260211-0006,140363,Raspberries εισαγωγής (125g),1.0,pcs,2.92,unmapped,,,,,,,,,
OFF-TM-20260211-0007,159310,Άνηθος εγχώριος,1.0,pcs,0.67,unmapped,,,,,,,,,
OFF-TM-20260211-0008,126921,Αβοκάντο εισαγωγής,1.0,pcs,3.55,unmapped,,,,,,,,,
OFF-TM-20260211-0009,126959,Αγγουράκια εγχώρια,1.0,pcs,2.97,unmapped,,,,,,,,,
OFF-TM-20260211-0010,120555,Αγγούρια εγχώρια,1.0,pcs,0.85,unmapped,,,,,,,,,
OFF-TM-20260211-0011,133216,Αγγούρια Κνωσσού βιολογικά (bio) εγχώρια,1.0,pcs,4.25,unmapped,,,,,,,,,
OFF-TM-20260211-0012,155630,ΑΓΡΟΚΗΠΟΣ ΧΑΛΒΑΤΖΗ κολοκύθα στον ατμό 400g,1.0,pcs,2.8,unmapped,,,,,,,,,
OFF-TM-20260211-0013,202857,ΑΓΡΟΚΗΠΟΣ ΧΑΛΒΑΤΖΗ λαχανικά με κους κους 220g,1.0,pcs,3.91,unmapped,,,,,,,,,
OFF-TM-20260211-0014,202859,ΑΓΡΟΚΗΠΟΣ ΧΑΛΒΑΤΖΗ λαχανικά με ρεβύθια και κινόα 220g,1.0,pcs,3.91,unmapped,,,,,,,,,
OFF-TM-20260211-0015,202858,ΑΓΡΟΚΗΠΟΣ ΧΑΛΒΑΤΖΗ λαχανικά στον ατμό με πλιγούρι και κινόα 220g,1.0,pcs,3.91,unmapped,,,,,,,,,
OFF-TM-20260211-0016,120388,Ακτινίδια βιολογικά (bio) εγχώρια,1.0,pcs,3.42,unmapped,,,,,,,,,
OFF-TM-20260211-0017,107481,Ακτινίδια εγχώρια,1.0,pcs,1.99,unmapped,,,,,,,,,
OFF-TM-20260211-0018,127023,Ανανάς χρυσός εισαγωγής,1.0,pcs,1.58,unmapped,,,,,,,,,
OFF-TM-20260211-0019,113093,ΑΝΑΤΟΛΗ Γλυκάνισος ολόκληρος (30g),1.0,pcs,0.76,unmapped,,,,,,,,,
