item_code,desc,category,qty,unit,net,currency,vat_rate,in_stock
,ΤΟΝΟΣ ΦΙΛΕΤΟ (RED TUNA LOINS) 2kg+ IVP/IQF frozen,seafood,1,kg,12.98,EUR,0.13,true
,ΣΟΛΟΜΟΣ ΝΩΠΟΣ SUPERIOR 5/6 ΝΟΡΒΗΓΙΑΣ,seafood,1,kg,9.98,EUR,0.13,true
,UNAGI KABAYAKI FILLET GRILLED MARINATED,seafood,1,kg,26.90,EUR,0.13,true
,ΦΑΓΚΡΙ ΝΩΠΟ ΙΧΘΥΟΤΡΟΦΕΙΟΥ ΕΓΧΩΡΙΟ 800/1000,seafood,1,kg,13.40,EUR,0.13,true
,Μπαρμπούνι Νωπό Ολόκληρο - Red Mullet Fresh Whole 400-600gr,seafood,1,kg,29.95,EUR,0.13,true
YK70896,"Wasabi Paste, 43g, Yutaka – China",dry,1,pcs,1.75,EUR,0.13,true
12550,"Kona Wasabi with Wasabits, Kinjirushi, Japan",dry,1,pcs,19.60,EUR,0.13,true
80102,"Konawasabi ""A"", Horseradish mustard powder - China",dry,1,pcs,6.28,EUR,0.13,true
98010,"Konawasabi ""Premium""",dry,1,pcs,9.25,EUR,0.13,true
40120,"Ginger pickled, 1kg, Gari pink, Enso - China AA GRADE",dry,1,pcs,2.68,EUR,0.13,true
40113,"Ginger pickled, 1kg, Gari white, Enso - China AA GRADE",dry,1,pcs,2.68,EUR,0.13,true
010409020,"Soysauce, 1lt, Kikkoman – Netherlands",dry,1,pcs,5.49,EUR,0.13,true
010409244,"Soysauce Less Salt, 975ml, Kikkoman – Netherlands",dry,1,pcs,6.48,EUR,0.13,true
80032,MISO PASTE WHITE GMO FREE (1kg) ΙΑΠΩΝΙΑ,dry,1,pcs,3.38,EUR,0.13,true
U2778,"Rice wine, Sake 720ml, 16% Vol",dry,1,pcs,61.50,EUR,0.13,true
U2779,"Rice wine, Sake 720ml, 16% Vol",dry,1,pcs,37.94,EUR,0.13,true
U5026A,"Rice wine, Sake 720ml, 16% Vol",dry,1,pcs,27.94,EUR,0.13,true
R227A,"Unagi Topping, Eel, marinated, roasted",frozen,1,pcs,4.86,EUR,0.13,true
1578,Tobikko Orange – Korea,frozen,1,pcs,12.93,EUR,0.13,true
SU.700.212.500,Tobikko Orange – Poland,frozen,1,pcs,12.93,EUR,0.13,true
1596,Tobikko Black – Korea,frozen,1,pcs,12.93,EUR,0.13,true
1597,Tobikko Red – Korea,frozen,1,pcs,12.93,EUR,0.13,true
SU.705.112.500,Tobikko Yuzu – Letonia,frozen,1,pcs,12.93,EUR,0.13,true
4807,"Edamame Kernels, peeled, blanched – China",frozen,1,pcs,1.64,EUR,0.13,true
01643,"Edamame ENSO, whole pods, blanched – China",frozen,1,pcs,1.39,EUR,0.13,true
1599,"Goma Wakame ""Select""- Taiwan",frozen,1,pcs,5.51,EUR,0.13,true
80153,"Green Tea powder ""Matcha"", 100% green tea",dry,1,pcs,27.80,EUR,0.13,true
ZZY001,"Bamboo Leaves, Enso",dry,1,pcs,4.20,EUR,0.13,true
13878,Banana leaves,dry,1,pcs,2.46,EUR,0.13,true
58074,Nori gold,dry,1,pcs,6.68,EUR,0.13,true
GO_3168,Aji Amarillo,dry,1,pcs,3.85,EUR,0.13,true
GO_3167,AJI PANKA,dry,1,pcs,3.85,EUR,0.13,true
80108,Dashi moto soup stock,dry,1,pcs,12.50,EUR,0.13,true
k071b,Tofu bean curd,frozen,1,pcs,2.10,EUR,0.13,true
33216,Gyoza dough sheet 10x10,frozen,1,pcs,1.96,EUR,0.13,true
